code,date,open,high,low,close,change,volume,money,turnover,linear_k60,linear_k60_loss,linear_k20,linear_k20_loss,bias,atr,label_1,label_2
sh601100,2011-10-28,10.19,10.68,9.83,10.53,0.033913,66347839.0,1546351315.0,0.789855,0.0,0.0,0.0,0.0,0.0,0.0,0.08736942070275404,0.01424501424501428
sh601100,2011-10-31,10.96,11.23,10.68,10.89,0.034062,34531918.0,850092341.0,0.41109399999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.05142332415059676,-0.04591368227731864
sh601100,2011-11-01,11.05,11.32,10.86,10.99,0.009353,26333826.0,656522625.0,0.313498,0.0,0.0,0.0,0.0,0.0,0.0,0.041856232939035405,-0.0582347588717016
sh601100,2011-11-02,10.81,11.45,10.71,11.38,0.035455,22286307.0,558689980.0,0.265313,0.0,0.0,0.0,0.0,0.0,0.0,-0.005272407732864718,-0.09050966608084368
sh601100,2011-11-03,11.16,11.32,10.68,10.77,-0.053696,28360661.0,702329338.0,0.337627,0.0,0.0,0.0,0.0,0.0,0.0,0.03621169916434546,-0.03899721448467966
sh601100,2011-11-04,10.99,11.16,10.81,10.91,0.012747,18550764.0,459297823.0,0.220842,0.0,0.0,0.0,0.0,0.0,0.0,-0.010082493125572817,-0.07882676443629692
sh601100,2011-11-07,10.76,10.8,10.39,10.41,-0.046285,15055149.0,358211824.0,0.179228,0.0,0.0,0.0,0.0,0.0,0.0,0.03170028818443805,-0.034582132564841446
sh601100,2011-11-08,10.37,10.67,10.35,10.58,0.017029,10603255.0,250849043.0,0.126229,0.0,0.0,0.0,0.0,0.0,0.0,0.01512287334593574,-0.050094517958412035
sh601100,2011-11-09,10.59,10.65,10.41,10.62,0.0037670000000000004,7839781.0,186629165.0,0.093331,0.0,0.0,0.0,0.0,0.0,0.0,0.011299435028248681,-0.05367231638418066
sh601100,2011-11-10,10.5,10.74,10.39,10.43,-0.018349,8099292.0,193114696.0,0.09642,0.0,0.0,0.0,0.0,0.0,0.0,0.010546500479386331,-0.0364333652924256
sh601100,2011-11-11,10.34,10.44,10.05,10.17,-0.024214,11876301.0,273134628.0,0.14138499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.03638151425762037,-0.04129793510324483
sh601100,2011-11-14,10.23,10.42,10.16,10.35,0.016978999999999998,9422592.0,218651311.0,0.112174,0.0,0.0,0.0,0.0,0.0,0.0,0.018357487922705265,-0.07053140096618361
sh601100,2011-11-15,10.29,10.4,10.2,10.34,-0.00042800000000000005,6489412.0,150692018.0,0.07725499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.019342359767891615,-0.08317214700193418
sh601100,2011-11-16,10.33,10.54,10.14,10.2,-0.014133000000000001,7996344.0,187224918.0,0.095195,0.0,0.0,0.0,0.0,0.0,0.0,0.01960784313725501,-0.07058823529411754
sh601100,2011-11-17,10.17,10.4,10.17,10.25,0.004778,4434115.0,102889742.0,0.052787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08000000000000003
sh601100,2011-11-18,10.18,10.25,9.75,9.77,-0.046693,7924121.0,178022584.0,0.094335,0.0,0.0,0.0,0.0,0.0,0.0,0.014329580348004153,-0.03480040941658136
sh601100,2011-11-21,9.77,9.91,9.62,9.88,0.011791,4464663.0,98743589.0,0.053151,0.0,0.0,0.0,0.0,0.0,0.0,-0.005060728744939342,-0.045546558704453545
sh601100,2011-11-22,9.75,9.82,9.48,9.7,-0.018377,4275566.0,93172233.0,0.0509,0.0,0.0,0.0,0.0,0.0,0.0,0.013402061855670184,-0.02783505154639171
sh601100,2011-11-23,9.73,9.83,9.59,9.64,-0.006393,3115460.0,68251277.0,0.037089,0.0,0.0,0.0,0.0,0.0,0.0,0.01452282157676336,-0.056016597510373536
sh601100,2011-11-24,9.51,9.66,9.43,9.51,-0.013327,3647137.0,78614767.0,0.043418,0.0,0.0,0.0,0.0,0.0,0.0,0.028391167192428977,-0.0431125131440589
sh601100,2011-11-25,9.52,9.7,9.48,9.58,0.007451999999999999,3692473.0,79918823.0,0.043958,0.0,0.0,0.0,0.0,0.0,0.0,0.02087682672233813,-0.08455114822546977
sh601100,2011-11-28,9.58,9.73,9.56,9.68,0.010633,3632108.0,79146761.0,0.043239,0.0,0.0,0.0,0.0,0.0,0.0,0.010330578512396658,-0.10743801652892554
sh601100,2011-11-29,9.75,9.78,9.6,9.72,0.00366,3424842.0,74917319.0,0.040772,0.0,0.0,0.0,0.0,0.0,0.0,0.0020576131687242358,-0.13374485596707825
sh601100,2011-11-30,9.68,9.74,9.1,9.12,-0.061987,5981380.0,126185661.0,0.071207,0.0,0.0,0.0,0.0,0.0,0.0,0.0361842105263158,-0.07675438596491221
sh601100,2011-12-01,9.37,9.45,9.12,9.13,0.0019440000000000002,6281101.0,131750032.0,0.074775,0.0,0.0,0.0,0.0,0.0,0.0,-0.005476451259583867,-0.0876232201533407
sh601100,2011-12-02,9.03,9.08,8.77,9.02,-0.012609,4605432.0,92853779.0,0.054827,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011086474501108411,-0.09756097560975599
sh601100,2011-12-05,8.95,9.01,8.64,8.67,-0.038801999999999996,2696663.0,53675005.0,0.032103,0.0,0.0,0.0,0.0,0.0,0.0,0.003460207612456674,-0.07151095732410602
